"","gender","type","continent"
"438","M","Gatekeeper","North America"
"439","M","Gatekeeper","North America"
"440","M","Gatekeeper","North America"
"441","M","Gatekeeper","North America"
"442","M","Gatekeeper","North America"
"443","M","Gatekeeper","North America"
"444","M","Gatekeeper","North America"
"445","M","Gatekeeper","North America"
"446","M","Gatekeeper","North America"
"447","M","Gatekeeper","North America"
"448","M","Gatekeeper","North America"
"449","M","Gatekeeper","North America"
"450","M","Gatekeeper","North America"
"451","F","Gatekeeper","North America"
"452","M","Gatekeeper","North America"
"453","F","Gatekeeper","North America"
"454","M","Gatekeeper","North America"
"455","F","Gatekeeper","North America"
"456","M","Gatekeeper","North America"
"457","UNK","Gatekeeper","North America"
"458","M","Gatekeeper","North America"
"459","F","Gatekeeper","North America"
"460","F","Gatekeeper","North America"
"461","F","Gatekeeper","North America"
"462","M","Gatekeeper","North America"
"463","M","Gatekeeper","North America"
"464","M","Gatekeeper","North America"
"465","F","Gatekeeper","North America"
"466","M","Gatekeeper","North America"
"467","M","Gatekeeper","North America"
"468","M","Gatekeeper","North America"
"469","F","Gatekeeper","North America"
"470","F","Gatekeeper","North America"
"471","M","Gatekeeper","North America"
"472","M","Gatekeeper","North America"
"473","M","Gatekeeper","North America"
"474","M","Gatekeeper","North America"
"475","M","Gatekeeper","North America"
"476","M","Gatekeeper","Asia"
"477","F","Gatekeeper","North America"
"478","M","Gatekeeper","North America"
"479","M","Gatekeeper","North America"
"480","M","Gatekeeper","North America"
"481","M","Gatekeeper","North America"
"482","M","Gatekeeper","North America"
"483","M","Gatekeeper","North America"
"484","UNK","Gatekeeper","North America"
"485","F","Gatekeeper","North America"
"486","M","Gatekeeper","North America"
"487","F","Gatekeeper","Asia"
"488","M","Gatekeeper","Africa"
"489","M","Gatekeeper","North America"
"490","M","Gatekeeper","North America"
"491","M","Gatekeeper","North America"
"492","M","Gatekeeper","North America"
"493","M","Gatekeeper","Europe"
"494","F","Gatekeeper","Europe"
"495","F","Gatekeeper","Asia"
"496","F","Gatekeeper","Europe"
"497","M","Gatekeeper","Europe"
"498","M","Gatekeeper","Europe"
"499","F","Gatekeeper","North America"
"500","M","Gatekeeper","North America"
"501","M","Gatekeeper","North America"
"502","M","Gatekeeper","North America"
"503","F","Gatekeeper","North America"
"504","M","Gatekeeper","North America"
"505","M","Gatekeeper","North America"
"506","M","Gatekeeper","North America"
"507","M","Gatekeeper","North America"
"508","M","Gatekeeper","Europe"
"509","F","Gatekeeper","North America"
"510","M","Gatekeeper","North America"
"511","F","Gatekeeper","North America"
"512","M","Gatekeeper","North America"
"513","M","Gatekeeper","North America"
"514","M","Gatekeeper","North America"
"515","M","Gatekeeper","North America"
"516","M","Gatekeeper","Europe"
"517","F","Gatekeeper","Asia"
"518","M","Gatekeeper","Asia"
"519","M","Gatekeeper","Asia"
"520","M","Gatekeeper","Europe"
"521","UNK","Gatekeeper","Europe"
"522","M","Gatekeeper","Europe"
"523","F","Gatekeeper","Europe"
"524","M","Gatekeeper","Europe"
"525","M","Gatekeeper","North America"
"526","M","Gatekeeper","North America"
"527","M","Gatekeeper","North America"
"528","F","Gatekeeper","North America"
"529","M","Gatekeeper","North America"
"530","M","Gatekeeper","North America"
"531","M","Gatekeeper","North America"
"532","M","Gatekeeper","North America"
